cubic,7,7,204,0.23,0.099,1448,1500,536,1448,975,27,9507155461,9507154710,6600209,195701,6600207,49.1,NaN,13464,49.9,5.32,6600207,13124,14480,64088,NaN,0,
cubic,7,7,204,0.338,0.147,1448,1500,536,1448,975,27,9785290245,9785223582,6793300,201400,6793298,33.4,NaN,13900,9.32,5.96,6793252,13544,14480,64088,NaN,0,
cubic,7,7,204,0.283,0.11,1448,1500,536,1448,975,27,10051497477,10051431566,6978112,206789,6978110,39.9,NaN,14340,42.2,4.35,6978065,13968,14480,64088,NaN,0,
cubic,7,7,204,0.175,0.066,1448,1500,536,1448,975,27,10333171205,10333171206,7173660,212539,7173658,64.5,4,14772,58,3.52,7173659,14384,14480,64088,NaN,0,
cubic,7,7,204,0.274,0.085,1448,1500,536,1448,975,27,10600427013,10600427014,7359196,217916,7359194,41.2,8,15188,49.4,3.72,7359195,14784,14480,64088,NaN,0,
cubic,7,7,204,0.267,0.062,1448,1500,536,1448,975,27,10875547141,10875481230,7550188,223732,7550186,42.3,NaN,15640,54.2,3.81,7550141,15232,14480,64088,NaN,0,
cubic,7,7,204,0.4,0.176,1448,1500,536,1448,975,27,11118161413,11118095502,7718617,228726,7718615,28.2,NaN,16080,35.3,2.09,7718570,15660,14480,64088,NaN,0,
cubic,7,7,204,0.178,0.034,1448,1500,536,1448,975,27,11391839749,11391708678,7908608,234113,7908606,63.5,NaN,16512,64.9,2.48,7908516,16084,14480,64088,NaN,0,
cubic,7,7,204,0.131,0.033,1448,1500,536,1448,975,27,11717684741,11717684742,8134816,240517,8134814,86.2,4,16948,103,3.95,8134815,16484,14480,64088,NaN,0,
cubic,7,7,204,0.406,0.226,1448,1500,536,1448,975,27,12003945989,12003880078,8333547,246317,8333545,27.8,NaN,17388,40.4,5.07,8333500,16916,14480,64088,NaN,0,
cubic,7,7,204,0.302,0.2,1448,1500,536,1448,975,27,12287454725,12287388814,8530361,252108,8530359,37.4,NaN,17828,62.4,1.21,8530314,17340,14480,64088,NaN,0,
cubic,7,7,204,0.346,0.185,1448,1500,536,1448,1323,27,12571225605,12571159694,8727360,257809,8727358,44.3,NaN,18264,23.8,3.98,8727313,17764,14480,64088,NaN,0,
cubic,7,7,204,0.246,0.041,1448,1500,536,1448,1323,27,12854472197,12854406286,8924003,263642,8924001,62.3,NaN,18720,59.4,4.37,8923956,18204,14480,64088,NaN,0,
cubic,7,7,204,0.425,0.388,1448,1500,536,1448,1323,27,13102591493,13102590742,9096256,268738,9096254,36.1,NaN,19152,67.2,1.32,9096254,18616,14480,64088,NaN,0,
cubic,7,7,204,0.319,0.256,1448,1500,536,1448,1323,27,13366701573,13366701574,9279616,274202,9279614,48,NaN,19596,79.1,NaN,9279615,19060,14480,64088,NaN,0,
cubic,7,7,204,0.407,0.292,1448,1500,536,1448,1323,27,13636316677,13636316678,9466792,279876,9466790,37.7,NaN,20028,45.2,1.97,9466791,19492,14480,64088,NaN,0,
cubic,7,7,204,0.48,0.455,1448,1500,536,1448,1323,27,13876309509,13876243598,9633399,284753,9633397,31.9,NaN,20468,63.7,NaN,9633352,19924,14480,64088,NaN,0,
cubic,7,7,204,0.447,0.197,1448,1500,536,1448,1323,27,14111976965,14111845894,9796993,289607,9796991,34.3,NaN,20920,44.3,2.23,9796901,20352,14480,64088,NaN,0,
