Timestamp: 31190171.344,
prague,7,7,236,35.522,1.208,1402,1454,536,1402,2543,2543,109489613,106776744,78150,7739,78105,80294713.0,NaN,2628,83272060.0,45038416.0,76171,2592,14020,64134,NaN,3,606.3609999977052,
prague,7,7,236,35.584,1.115,1402,1454,536,1402,2474,2474,110473817,107546442,78852,7808,78807,77979946.0,NaN,2648,80870112.0,39051830.0,76720,2612,14020,64134,NaN,3,626.8020000010729,
prague,7,7,236,35.241,1.146,1402,1454,536,1402,2356,2356,111679537,109226038,79713,7939,79667,74983388.0,NaN,2672,77761193.0,41182568.0,77918,2636,14020,64134,NaN,3,649.5410000011325,
prague,7,7,236,35.269,1.15,1402,1454,536,1402,2278,2278,112837589,110060228,80539,8018,80493,72443358.0,NaN,2692,75128440.0,41701556.0,78513,2656,14020,64134,NaN,3,670.7509999983013,
prague,7,7,236,34.946,1.223,1402,1454,536,1402,2236,2236,113890491,110555134,81291,8060,81244,71764940.0,NaN,2712,74424812.0,39854729.0,78866,2676,14020,64134,NaN,3,690.6809999980032,
prague,7,7,236,34.419,1.296,1402,1454,536,1402,2131,2131,115009287,112177248,82091,8180,82042,69442156.0,NaN,2732,72015866.0,42633504.0,80023,2696,14020,64134,NaN,3,711.0040000006557,
prague,7,7,236,35.256,1.981,1402,1454,536,1402,2066,2066,115826653,113317074,82674,8245,82625,65725709.0,NaN,2752,68161472.0,43405401.0,80836,2716,14020,64134,NaN,3,730.7630000002682,
prague,7,7,236,35.073,0.963,1402,1454,536,1402,1988,1988,116977695,114322308,83495,8323,83446,63574282.0,4,2776,65930032.0,41529681.0,81553,2740,14020,64134,NaN,3,751.4279999993742,
prague,7,7,240,36.032,1.621,1402,1454,536,1402,1934,1934,117991341,114946198,84218,8378,84169,60201332.0,4,2796,62432614.0,36103470.0,81998,2760,14020,64134,NaN,3,772.9690000005066,
prague,7,7,236,34.527,0.733,1402,1454,536,1402,1841,1841,118958721,116408484,84912,8471,84859,59804373.0,NaN,2816,62021080.0,39040464.0,83041,2780,14020,64134,NaN,3,793.0080000013113,
prague,7,7,236,35.726,0.942,1402,1454,536,1402,1795,1795,119923297,117000128,85600,8517,85547,56353132.0,NaN,2836,58440892.0,43837045.0,83463,2800,14020,64134,NaN,3,813.6609999984503,
prague,7,7,236,33.646,0.235,1402,1454,536,1402,1694,1694,121084153,118416148,86428,8618,86375,56470023.0,NaN,2852,58563612.0,37701724.0,84473,2816,14020,64134,NaN,3,832.7619999982417,
prague,7,7,236,34.433,0.154,1402,1454,536,1402,1634,1634,122097799,119076490,87151,8678,87098,53224941.0,NaN,2868,55197827.0,36227200.0,84944,2832,14020,64134,NaN,3,847.7989999987185,
prague,7,7,236,33.574,0.17,1402,1454,536,1402,1567,1567,123000687,120090136,87795,8746,87742,52348460.0,NaN,2884,54288401.0,43294047.0,85667,2848,14020,64134,NaN,3,862.8849999979138,
prague,7,7,236,34.522,0.167,1402,1454,536,1402,1511,1511,123980685,121123410,88494,8802,88441,49091524.0,NaN,2900,50911029.0,51293257.0,86428,2864,14020,64134,NaN,3,877.6140000000596,
prague,7,7,236,33.416,0.261,1402,1454,536,1402,1464,1464,124805061,122038916,89082,8849,89029,49138807.0,NaN,2912,50960083.0,52087932.0,87057,2876,14020,64134,NaN,3,893.8609999977052,
prague,7,7,236,34.073,0.435,1402,1454,536,1402,1379,1379,125679909,123171732,89706,8937,89653,45393314.0,NaN,2932,47075750.0,48470153.0,87865,2896,14020,64134,NaN,3,909.0570000000298,
prague,7,7,236,33.23,0.24,1402,1454,536,1402,1316,1316,126582797,124038168,90350,9000,90297,44418465.0,NaN,2948,46065264.0,46842829.0,88483,2912,14020,64134,NaN,3,926.2439999990165,
prague,7,7,236,33.91,0.377,1402,1454,536,1402,1256,1256,127240335,124876564,90819,9060,90766,41543190.0,NaN,2960,43082809.0,45220280.0,89081,2924,14020,64134,NaN,3,941.6229999996722,
prague,7,7,236,33.029,0.496,1402,1454,536,1402,1204,1204,128071721,125703744,91412,9112,91359,40885476.0,NaN,2976,42401027.0,43976366.0,89671,2940,14020,64134,NaN,3,956.9769999980927,
prague,7,7,236,32.758,0.416,1402,1454,536,1402,1146,1146,128781133,126465030,91918,9170,91865,39237853.0,NaN,2992,40692168.0,38957293.0,90214,2956,14020,64134,NaN,3,971.7249999977648,
prague,7,7,236,33.086,0.271,1402,1454,536,1402,1077,1077,129539615,127302024,92459,9239,92406,36509798.0,NaN,3008,37863012.0,39488037.0,90811,2972,14020,64134,NaN,3,988.855000000447,
prague,7,7,236,32.907,0.319,1402,1454,536,1402,1072,1072,130173319,128011436,92911,9293,92858,36537976.0,NaN,3024,37892198.0,39242084.0,91317,2988,14020,64134,NaN,3,1004.4120000004768,
prague,7,7,236,32.116,0.365,1402,1454,536,1402,1072,1072,130940213,128785340,93458,9350,93405,37437887.0,NaN,3040,38826124.0,36464000.0,91869,3004,14020,64134,NaN,3,1019.7280000001192,
prague,7,7,236,32.255,0.372,1402,1454,536,1402,1072,1072,131596349,129388200,93926,9408,93873,37276552.0,NaN,3056,38658035.0,35576224.0,92299,3020,14020,64134,NaN,3,1035.3969999998808,
prague,7,7,236,32.213,0.335,1402,1454,536,1402,1072,1072,132328193,130145280,94448,9456,94395,37325154.0,NaN,3072,38708633.0,35542189.0,92839,3036,14020,64134,NaN,3,1050.504999998957,
prague,7,7,232,31.9,0.21,1402,1454,536,1402,1073,1072,133057233,130830858,94968,9516,94915,37726545.0,4,3088,39125013.0,36829484.0,93328,3052,14020,64134,NaN,3,1066.5469999983907,
prague,7,7,232,31.752,0.172,1402,1454,536,1402,1073,1072,133713369,131520642,95436,9568,95383,37902393.0,NaN,3100,39307852.0,36007835.0,93820,3064,14020,64134,NaN,3,1081.309999998659,
prague,7,7,232,31.975,0.093,1402,1454,536,1402,1074,1072,134433997,132242672,95950,9636,95897,37673132.0,NaN,3116,39069542.0,37397122.0,94335,3080,14020,64134,NaN,3,1096.219999998808,
prague,7,7,232,31.917,0.211,1402,1454,536,1402,1074,1072,135109761,132918436,96432,9686,96379,37741592.0,NaN,3132,39140856.0,36677914.0,94817,3096,14020,64134,NaN,3,1111.6779999993742,
prague,7,7,232,31.715,0.167,1402,1454,536,1402,1075,1072,135894881,133661496,96992,9743,96939,38017342.0,NaN,3148,39426700.0,36428215.0,95347,3112,14020,64134,NaN,3,1127.8130000010133,
prague,7,7,232,31.702,0.282,1402,1454,536,1402,1075,1072,136562233,134331652,97468,9801,97415,38032931.0,NaN,3164,39442180.0,36425907.0,95825,3128,14020,64134,NaN,3,1142.4899999983609,
prague,7,7,232,31.755,0.183,1402,1454,536,1402,1076,1072,137324921,135122380,98012,9869,97959,38004774.0,NaN,3180,39412588.0,37385488.0,96389,3144,14020,64134,NaN,3,1158.147999998182,
