Timestamp: 31190031.035,
cubic,7,7,292,91.842,1.498,1402,NaN,NaN,NaN,1263,1263,NaN,41659066,31001,3662,NaN,154200000.0,NaN,1812,185100000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,0.0,
cubic,7,7,248,46.94,0.252,1402,NaN,NaN,NaN,1267,1263,NaN,42254200,31415,3731,NaN,302700000.0,NaN,1848,363300000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,38.72199999913573,
cubic,7,7,264,62.53,1.174,1402,NaN,NaN,NaN,1271,1263,NaN,43427102,32253,3882,NaN,228000000.0,8,1884,273600000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,73.8150000013411,
cubic,7,7,240,37.547,0.893,1402,NaN,NaN,NaN,1278,1263,NaN,45140346,33485,3982,NaN,381800000.0,8,1916,458100000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,105.70199999958277,
cubic,7,7,244,40.133,3.753,1402,NaN,NaN,NaN,1278,1263,NaN,45183808,33531,3986,NaN,357200000.0,24,1944,428600000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,137.7089999988675,
cubic,7,7,276,75.705,0.92,1402,NaN,NaN,NaN,1284,1263,NaN,46089500,34175,4068,NaN,190200000.0,NaN,1976,228300000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,169.82999999821186,
cubic,7,7,284,83.999,1.279,1402,NaN,NaN,NaN,1288,1263,NaN,46975564,34819,4161,NaN,172000000.0,12,2012,206400000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,201.66499999910593,
cubic,7,7,268,66.866,0.25,1402,NaN,NaN,NaN,1293,1263,NaN,47860226,35439,4274,NaN,216900000.0,NaN,2044,260300000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,233.73499999940395,
cubic,7,7,272,70.4,0.226,1402,NaN,NaN,NaN,1297,1263,NaN,48779938,36107,4379,NaN,206600000.0,12,2080,248000000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,269.6140000000596,
cubic,7,7,240,36.25,0.197,1402,NaN,NaN,NaN,1305,1263,NaN,50587116,37395,4496,NaN,403800000.0,8,2112,484500000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,301.71099999919534,
cubic,7,7,248,47.391,0.959,1402,NaN,NaN,NaN,1310,1263,NaN,52005940,38407,4651,NaN,310000000.0,NaN,2144,372000000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,333.81100000068545,
cubic,7,7,252,51.247,1.982,1402,NaN,NaN,NaN,1311,1263,NaN,52521876,38780,4703,NaN,286900000.0,NaN,2176,344300000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,365.7529999986291,
cubic,7,7,256,52.328,0.679,1402,NaN,NaN,NaN,1318,1263,NaN,54179040,39971,4874,NaN,282500000.0,4,2208,339000000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,397.7529999986291,
cubic,7,7,252,50.877,0.521,1402,NaN,NaN,NaN,1322,1263,NaN,55202500,40707,4982,NaN,291400000.0,NaN,2240,349700000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,429.8099999986589,
cubic,7,7,260,56.014,0.381,1402,NaN,NaN,NaN,1325,1263,NaN,56038092,41320,5079,NaN,265300000.0,8,2272,318400000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,465.6039999984205,
cubic,7,7,268,66.904,0.509,1402,NaN,NaN,NaN,1329,1263,NaN,56971824,41972,5201,NaN,222800000.0,4,2308,267399999.99999997,NaN,NaN,NaN,14020,NaN,NaN,NaN,497.8920000009239,
cubic,7,7,272,71.292,0.702,1402,NaN,NaN,NaN,1333,1263,NaN,57895742,42653,5311,NaN,209700000.0,4,2340,251700000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,529.5850000008941,
cubic,7,7,272,71.308,0.278,1402,NaN,NaN,NaN,1337,1263,NaN,58584124,43145,5378,NaN,210300000.0,NaN,2372,252400000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,561.7269999980927,
cubic,7,7,264,61.952,0.263,1402,NaN,NaN,NaN,1342,1263,NaN,59764608,43973,5506,NaN,243000000.0,8,2404,291500000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,593.7289999984205,
cubic,7,7,260,59.149,0.751,1402,NaN,NaN,NaN,1346,1263,NaN,60595994,44571,5619,NaN,255200000.0,4,2436,306300000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,625.7030000016093,
cubic,7,7,260,59.291,0.31,1402,NaN,NaN,NaN,1350,1263,NaN,61615248,45307,5720,NaN,255400000.0,12,2464,306500000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,657.6009999997914,
cubic,7,7,260,56.006,0.568,1402,NaN,NaN,NaN,1356,1263,NaN,62914902,46255,5864,NaN,271600000.0,NaN,2500,325900000.0,NaN,NaN,NaN,14020,NaN,NaN,NaN,689.7729999981821,
